URL,パス,ステータス,リダイレクト,最終URL,ページ名,タイムスタンプ
"http://aidunitemvp.xsrv.jp/team-chat","/team-chat","200","true","http://aidunitemvp.xsrv.jp/login/","","2025-08-02T00:21:54.695Z"
"http://aidunitemvp.xsrv.jp/message-board","/message-board","200","true","http://aidunitemvp.xsrv.jp/login/","","2025-08-02T00:21:55.136Z"
"http://aidunitemvp.xsrv.jp/edit-team","/edit-team","200","true","http://aidunitemvp.xsrv.jp/edit-team/","","2025-08-02T00:21:55.418Z"
"http://aidunitemvp.xsrv.jp/player-add","/player-add","200","true","http://aidunitemvp.xsrv.jp/login/","","2025-08-02T00:21:55.875Z"
"http://aidunitemvp.xsrv.jp/invite-guardian","/invite-guardian","404","false","http://aidunitemvp.xsrv.jp/invite-guardian","","2025-08-02T00:21:56.002Z"
"http://aidunitemvp.xsrv.jp/team-parents","/team-parents","404","false","http://aidunitemvp.xsrv.jp/team-parents","","2025-08-02T00:21:56.145Z"
"http://aidunitemvp.xsrv.jp/team-apply","/team-apply","404","false","http://aidunitemvp.xsrv.jp/team-apply","","2025-08-02T00:21:56.272Z"
"http://aidunitemvp.xsrv.jp/team-approval","/team-approval","500","true","http://aidunitemvp.xsrv.jp/team-approval/","","2025-08-02T00:21:56.483Z"
"http://aidunitemvp.xsrv.jp/match-management","/match-management","200","true","http://aidunitemvp.xsrv.jp/match-management/","","2025-08-02T00:21:56.720Z"
"http://aidunitemvp.xsrv.jp/parent-dashboard","/parent-dashboard","200","true","http://aidunitemvp.xsrv.jp/login/","","2025-08-02T00:21:57.185Z"
"http://aidunitemvp.xsrv.jp/player-dashboard","/player-dashboard","200","true","http://aidunitemvp.xsrv.jp/login/","","2025-08-02T00:21:57.644Z"
"http://aidunitemvp.xsrv.jp/support-dashboard","/support-dashboard","200","true","http://aidunitemvp.xsrv.jp/login/","","2025-08-02T00:21:58.070Z"
"http://aidunitemvp.xsrv.jp/support-list","/support-list","404","false","http://aidunitemvp.xsrv.jp/support-list","","2025-08-02T00:21:58.181Z"
"http://aidunitemvp.xsrv.jp/support-history","/support-history","404","false","http://aidunitemvp.xsrv.jp/support-history","","2025-08-02T00:21:58.296Z"
