"ドメイン","意味","ユーザー向け表示","Ainy内部コード（正式）","語彙種別","名前空間ID（正式）","昔のコード","今後","保存エンティティ","保存meta_key","JSON内キー","発火タイミング","辞書ステータス"
"チーム","団体種別：クラブ","クラブ","club","org","team.org_club","DB保存: クラブ","同上","postmeta","team_type","","","正式"
"チーム","団体種別：企業","企業","corporate","org","team.org_corporate","DB保存: 企業","同上","postmeta","team_type","","","正式"
"チーム","団体種別：地域","地域","community","org","team.org_community","DB保存: 地域","同上","postmeta","team_type","","","正式"
"チーム","団体種別：その他","その他","other","org","team.org_other","DB保存: その他","同上","postmeta","team_type","","","正式"
"チーム","活動地域：都道府県","（例：東京都）","（都道府県名）","region","team.region_prefecture","8ブロック region のみの時代","都道府県を正本。region は集計用に自動算出","postmeta","activity_prefecture","","","正式"
"チーム","活動地域：東京23区","（例：渋谷区）","（区名）","region","team.region_tokyo_ward","—","東京都選択時のみ","postmeta","activity_area + activity_area_type=ward","","","正式"
"チーム","活動地域：東京市部","（例：八王子市）","（市名）","region","team.region_tokyo_city","—","東京都選択時のみ","postmeta","activity_area + activity_area_type=city","","","正式"
"チーム","初回ガイド：募集未公開","試合の募集を公開しましょう","recruit_pending","activation","team.activation_recruit_pending","—","KPI・ミッション文言と1対1","postmeta","aidunite_activation_stage","","","正式"
"チーム","初回ガイド：募集公開済","試合の募集を公開しました","recruit_published","activation","team.activation_recruit_published","—","同上","postmeta","aidunite_activation_stage","","","正式"
"チーム","初回ガイド：初めての申請","初めての申請を受け取りました","first_application","activation","team.activation_first_application","—","同上","postmeta","aidunite_activation_stage","","","正式"
"チーム","初回ガイド：初めての試合確定","初めて試合が確定しました","first_established","activation","team.activation_first_established","—","同上","postmeta","aidunite_activation_stage","","","正式"
"チーム","支払い形態：教育委員会（辞書重複）","教育委員会契約","board","payment","team.payment_board","—","正本は決済ドメイン行","postmeta","payment_mode","","","削除対象"
"チーム","支払い形態：学校契約（辞書重複）","学校契約","school","payment","team.payment_school","—","正本は決済・payment_business 行","postmeta","payment_mode","","","削除対象"
"チーム","支払い形態：個人（辞書重複）","個人契約","personal","payment","team.payment_personal","—","正本は決済ドメイン行","postmeta","payment_mode","","","削除対象"
"チーム","他チームへの参加申請・移籍","参加申請中","pending","status","team_application.status_pending","—","「チーム作成申請」と用語を分ける","posts","post_status（team_application CPT）","","","未リリース"
"スケジュール","予定の目的：確定","確定の予定","confirmed","intent","schedule.intent_confirmed","matching=1 のみで判定していた名残","intent を正本に。matching は廃止方向","postmeta","intent","","","正式"
"スケジュール","予定の目的：試合募集","試合を募集","recruit","intent","schedule.intent_recruit","match_request / 募集フラグのみ","recruit に統一","postmeta","intent","","","正式"
"スケジュール","予定の目的：仮押さえ","仮押さえ","tentative","intent","schedule.intent_tentative","certainty=tentative","tentative に統一（確度は補助）","postmeta","intent","","","正式"
"スケジュール","予定の目的：大会","大会","tournament","intent","schedule.intent_tournament","—","練習試合募集とは別辞書","postmeta","intent","","","正式"
"スケジュール","募集フラグ：ON","試合募集する","1","flag","schedule.flag_recruit_on","is_match_requested 重複","intent=recruit から自動判定し1本化","postmeta","is_match_requested","","","正式"
"スケジュール","募集フラグ：OFF","募集しない","0","flag","schedule.flag_recruit_off","—","同上","postmeta","is_match_requested","","","正式"
"スケジュール","会場条件：ホーム","ホーム","home","place","schedule.place_home","ホーム / ホーム開催（日本語）","home に統一","postmeta","schedule_place","","","正式"
"スケジュール","会場条件：アウェイ","アウェイ","away","place","schedule.place_away","アウェイ / アウェイ開催","away に統一","postmeta","schedule_place","","","正式"
"スケジュール","会場条件：どちらでも","どちらでも可","either","place","schedule.place_either","both / schedule_place_option 重複","both は保存禁止。読取は either","postmeta","schedule_place","","","正式"
"スケジュール","募集性別：男子","男子","male","gender","schedule.recruit_gender_male","both / matching_gender_condition","male に統一。both 新規禁止","postmeta","matching_gender_condition","","","正式"
"スケジュール","募集性別：女子","女子","female","gender","schedule.recruit_gender_female","both / 女子","female に統一。both 新規禁止","postmeta","matching_gender_condition","","","正式"
"スケジュール","募集枠：男子","男子枠（数値）","（整数）","slot","schedule.slot_male","male_teams / male_capacity","male_slots を正本に集約","postmeta","male_slots","","","正式"
"スケジュール","募集枠：女子","女子枠（数値）","（整数）","slot","schedule.slot_female","female_teams / female_capacity","female_slots を正本に集約","postmeta","female_slots","","","正式"
"スケジュール","出欠：出席","出席","present","attendance","schedule.attendance_present","attending / JSON内 status","正式 present。読取 attending→present","postmeta","attendance_data","status","","正式"
"スケジュール","出欠：欠席","欠席","absent","attendance","schedule.attendance_absent","not_attending","正式 absent。読取 not_attending→absent","postmeta","attendance_data","status","","正式"
"スケジュール","出欠：遅刻","遅刻","late","attendance","schedule.attendance_late","—","正式採用","postmeta","attendance_data","status","","正式"
"スケジュール","出欠：早退","早退","leave_early","attendance","schedule.attendance_leave_early","—","正式採用","postmeta","attendance_data","status","","正式"
"スケジュール","出欠：未回答","未回答","no_response","attendance","schedule.attendance_no_response","空 / pending","正式採用","postmeta","attendance_data","status","","正式"
"試合_申請","申請状態：未申請","未申請","not_applied","status","match.status_not_applied","—","一覧・詳細で統一","—","（未保存・表示専用）","","","正式"
"試合_申請","申請状態：申請中","申請中","pending","status","match.status_pending","publish / request_status","publish は pending 扱い","postmeta","status","","","正式"
"試合_申請","申請状態：承認済み","承認済み","accepted","status","match.status_accepted","承認済 / 承認済み","現行承認フローでは即 established 遷移。互換読取のみ","postmeta","status","","","削除対象"
"試合_申請","申請状態：試合確定","試合確定 / 試合が確定しました","established","status","match.status_established","試合確定（日本語）","確定は established のみ","postmeta","status","","","正式"
"試合_申請","申請状態：拒否","拒否済み","rejected","status","match.status_rejected","拒否 / 拒否済","rejected に統一","postmeta","status","","","正式"
"試合_申請","申請状態：キャンセル","キャンセル済み","canceled","status","match.status_canceled","cancelled / キャンセル","理由は reason 語彙。status のみ canceled","postmeta","status","","","正式"
"試合_申請_条件","申請時会場：ホーム","相手ホーム等","home","place","match.place_home","both","home に統一","postmeta","selected_place","","","正式"
"試合_申請_条件","申請時会場：アウェイ","アウェイ","away","place","match.place_away","both","away に統一","postmeta","selected_place","","","正式"
"試合_申請_条件","申請時会場：どちらでも","どちらでも可","either","place","match.place_either","both","UI必須（either 時は home/away ピル選択）","postmeta","selected_place","","","正式"
"試合_申請_条件","申請時会場：空（レガシー）","—","（サーバー補完）","place","match.place_legacy_empty","未送信・API直叩き","フォーム必須化後は新規不可","postmeta","selected_place","","","削除対象"
"試合_申請_条件","申請時性別：男子","男子","male","gender","match.gender_male","both","male に統一","postmeta","selected_gender","","","正式"
"試合_申請_条件","申請時性別：女子","女子","female","gender","match.gender_female","both","female に統一","postmeta","selected_gender","","","正式"
"試合_申請_条件","自動キャンセル：別方向で成立","別方向の申請が成立したため…","mirror_established","reason","match.reason_mirror_established","canceled_reason / aidunite_cancel_reason / cancel_reason","status=canceled とセット。reason のみ","postmeta","canceled_reason（+ aidunite_cancel_reason 重複）","","","正式"
"試合_申請_条件","自動キャンセル：別申請で成立","別の申請が試合確定したため…","superseded_established","reason","match.reason_superseded_established","aidunite_cancel_reason 等","status=canceled とセット。reason のみ","postmeta","canceled_reason（+ aidunite_cancel_reason 重複）","","","正式"
"マッチ","再確認待ち（フラグ）","条件変更のため再確認が必要","1","flag","match.flag_requires_reconfirm","requires_reconfirm=1 表記","表示は outcome_reconfirm_required とセット","postmeta","requires_reconfirm","","","正式"
"マッチ","承認前評価：承認可能","承認可能","keep_pending","outcome","match.outcome_keep_pending","—","status ではない","postmeta","mr_outcome_code","","","正式"
"マッチ","承認前評価：再確認待ち","再確認待ち","reconfirm_required","outcome","match.outcome_reconfirm_required","—","同上","postmeta","mr_outcome_code","","","正式"
"マッチ","承認前評価：条件調整で成立可能","条件調整で成立可能","proposal_possible","outcome","match.outcome_proposal_possible","—","同上","postmeta","mr_outcome_code","","","正式"
"マッチ","承認前評価：募集枠満了","募集枠満了","slots_full","outcome","match.outcome_slots_full","—","同上","postmeta","mr_outcome_code","","","正式"
"マッチ","承認前評価：性別枠満了","性別枠満了","gender_slots_full","outcome","match.outcome_gender_slots_full","—","同上","postmeta","mr_outcome_code","","","正式"
"マッチ","承認前評価：性別不一致","性別不一致","gender_conflict","outcome","match.outcome_gender_conflict","—","同上","postmeta","mr_outcome_code","","","正式"
"マッチ","承認前評価：会場条件不一致","会場条件不一致","venue_conflict","outcome","match.outcome_venue_conflict","—","同上","postmeta","mr_outcome_code","","","正式"
"マッチ","承認前評価：成立不可","成立不可","invalid_closed","outcome","match.outcome_invalid_closed","—","同上","postmeta","mr_outcome_code","","","正式"
"マッチ","自動マッチ案（下書きMR）","（一覧非表示）","draft","legacy","match.legacy_auto_match_draft","is_auto_match 併用","旧自動マッチ名残。おすすめ通知のみが現行","posts+postmeta","post_status + is_auto_match","","","削除対象"
"マッチ","ゲスト試合招待","ゲスト招待","guest_invite","approver","match.approver_guest_invite","approver_type=guest_invite","to_schedule_id=9999 等","postmeta","approver_type / to_schedule_id","","","正式"
"募集中の試合","募集一覧：募集中","募集中","open","board_status","match_board.board_status_open","closed 等（旧クラス）","MR status とは別集計","postmeta","match_board_status","","","正式"
"募集中の試合","募集一覧：申請あり","申請あり","pending","board_status","match_board.board_status_pending","—","同上","postmeta","match_board_status","","","正式"
"募集中の試合","募集一覧：承認あり","承認済み","accepted","board_status","match_board.board_status_accepted","旧ステータス体系","現行承認フローでは即 established 遷移。主状態は established","postmeta","match_board_status","","","削除対象"
"募集中の試合","募集一覧：試合確定","試合確定","established","board_status","match_board.board_status_established","—","同上","postmeta","match_board_status","","","正式"
"試合後_アンケート","試合後アンケート","満足度・理由等","（項目ごとに正式化）","survey","match_feedback.survey_item","自由入力キー混在","許可する質問項目をリスト化","postmeta","（項目未定）","","","保留"
"通知","通知：マッチ申請届き","マッチ申請が届きました","match_request","notification","notification.match_request","—","正式","postmeta","type","","","正式"
"通知","通知：試合確定","試合が確定しました","match_established","notification","notification.match_established","DB type: match_accepted / 表示: 申請が承認されました","目標コード match_established。DBは match_accepted 互換読取","postmeta","type","","MR status=established 直後（aidunite_after_match_established）","正式"
"通知","通知：マッチ拒否","申請が拒否されました","match_rejected","notification","notification.match_rejected","—","正式","postmeta","type","","募集側が申請を拒否した直後","正式"
"通知","通知：申請自動キャンセル","別の申請が成立したため…","match_request_superseded","notification","notification.match_request_superseded","—","正式","postmeta","type","","試合確定に伴う自動キャンセル直後","正式"
"通知","通知：チーム申請（管理者）","チーム申請が届きました","team_approval_request","notification","notification.team_approval_request","admin_team_application","名称ゆれを廃止","postmeta","type","","チーム作成申請が管理者に届いた直後","正式"
"通知","通知：チーム承認完了","チームが承認されました","team_approval_completed","notification","notification.team_approval_completed","team_approved / team_approval","team_approval_completed に統一","postmeta","type","","管理者がチーム作成申請を承認した直後","正式"
"通知","通知：支払い完了","お支払いが完了しました","payment_completed","notification","notification.payment_completed","—","正式","postmeta","type","","Stripe 等で支払い完了した直後","正式"
"通知","通知：支払いリマインド","お支払い期限が近づいています","payment_reminder","notification","notification.payment_reminder","—","正式","postmeta","type","","請求日（毎月1日）の3日前（Cron）","正式"
"通知","通知：出欠","出欠登録が完了しました","attendance_registered","notification","notification.attendance_registered","—","正式","postmeta","type","","出欠回答が保存された直後","正式"
"通知","既読状態","既読 / 未読","true","flag","notification.flag_is_read","false","boolean 正式値は true / false に統一","postmeta","is_read","","","正式"
"通知","ユーザー通知設定","メールON/OFF等","（種別キー）","settings","user.notification_settings","type / notification_type 重複","種別IDは notification.* と同一","usermeta","notification_settings","type（legacy: notification_type）","","正式"
"大会","大会：下書き","下書き","draft","status","tournament.status_draft","open（仕様表記ゆれ）","draft に統一","tournament","status","","","保留"
"大会","大会：募集中","募集中","recruiting","status","tournament.status_recruiting","open","recruiting に統一","tournament","status","","","保留"
"大会","大会：開催確定","開催確定","confirmed","status","tournament.status_confirmed","—","同上","tournament","status","","","保留"
"大会","大会：終了","終了","finished","status","tournament.status_finished","closed","finished に統一","tournament","status","","","保留"
"マルチマッチ","マルチマッチ試合：予定","予定","scheduled","status","mm.status_scheduled","—","練習試合マッチとは別管理","mm_match","status","","","保留"
"マルチマッチ","MMチャット：通常メッセージ","（本文）","text","message","mm.message_text","—","MM専用辞書","mm_message","message_type","","","保留"
"マルチマッチ","MMチャット：システム","システム通知","system","message","mm.message_system","—","同上","mm_message","message_type","","","保留"
"決済","課金：教育委員会","教育委員会契約","board","payment","team.payment_board","—","正式採用","postmeta","payment_mode","","","正式"
"決済","課金：法人","法人契約","business","payment","team.payment_business","DB: school（payment_mode）","business に統一（実装移行）","postmeta","payment_mode","","","正式"
"決済","課金：個人","個人契約","personal","payment","team.payment_personal","—","正式採用","postmeta","payment_mode","","","正式"
"決済","プラン：スタンダード","スタンダードプラン","plan_standard","plan","team.plan_standard","—","表示と対応","postmeta","selected_plan_id","","","正式"
"決済","プラン：プレミアム","プレミアムプラン","plan_premium","plan","team.plan_premium","—","同上","postmeta","selected_plan_id","","","正式"
"決済","無料お試し開始日","—","（日付ISO）","meta","team.meta_trial_start_date","—","チーム単位で記録","postmeta","trial_start_date","","","正式"
"決済","Stripe継続課金","—","（Stripe ID）","meta","team.meta_stripe_subscription_id","—","誰の課金かを仕様で明確化","postmeta","stripe_subscription_id","","","正式"
"チャット","チャットルーム：チーム内","チームチャット","team","room","chat.room_team","—","正式採用","postmeta","room_type","","","正式"
"チャット","チャットルーム：試合（マッチ）","試合チャット","match","room","chat.room_match","—","同上","postmeta","room_type","","","正式"
"チャット","チャットルーム：スレッド","スレッド","message_thread","room","chat.room_message_thread","—","同上","postmeta","room_type","","","正式"
"チャット","チャットルーム：システム","システム","system","room","chat.room_system","—","同上","postmeta","room_type","","","正式"
"チャット","チャットルーム：グループ","グループ","group","room","chat.room_group","—","同上","postmeta","room_type","","","正式"
"チャット","チャットルーム：個人","個人","direct","room","chat.room_direct","—","同上","postmeta","room_type","","","正式"
"チャット","ルーム状態：進行中","—","active","status","chat.status_active","—","キャンセル時の完了化ルールと連動","postmeta","status","","","正式"
"チャット","ルーム状態：完了","—","completed","status","chat.status_completed","—","同上","postmeta","status","","","正式"
"チャット","ルーム状態：アーカイブ","—","archived","status","chat.status_archived","—","同上","postmeta","status","","","正式"
"チャット","メッセージ：テキスト","—","text","message","chat.message_text","—","同上","postmeta","message_type","","","正式"
"チャット","メッセージ：画像","—","image","message","chat.message_image","—","同上","postmeta","message_type","","","正式"
"チャット","メッセージ：ファイル","—","file","message","chat.message_file","—","同上","postmeta","message_type","","","正式"
"チャット","メッセージ：評価依頼","—","evaluation_request","message","chat.message_evaluation_request","—","試合後フロー","postmeta","message_type","","","正式"
"analytics","ページ行動：閲覧","—","view","event","analytics.event_view","—","分析用5種で固定","DB","analytics_page_event.event_type","","","正式"
"analytics","ページ行動：クリック","—","click","event","analytics.event_click","—","同上","DB","analytics_page_event.event_type","","","正式"
"analytics","ページ行動：送信","—","submit","event","analytics.event_submit","—","同上","DB","analytics_page_event.event_type","","","正式"
"analytics","ページ行動：完了","—","complete","event","analytics.event_complete","—","同上","DB","analytics_page_event.event_type","","","正式"
"analytics","ページ行動：離脱","—","leave","event","analytics.event_leave","—","同上","DB","analytics_page_event.event_type","","","正式"
"analytics","ファネル：チーム作成","—","team_created","funnel","analytics.funnel_team_created","—","KPI定義と1対1","コード","funnel step_id（集計ロジック）","","","正式"
"analytics","ファネル：募集公開","—","recruit_published","funnel","analytics.funnel_recruit_published","—","同上","コード","funnel step_id","","","正式"
"analytics","ファネル：申請","—","application","funnel","analytics.funnel_application","—","同上","コード","funnel step_id","","","正式"
"analytics","ファネル：承認","—","approval","funnel","analytics.funnel_approval","—","match.status_accepted 相当・確定とは別","コード","funnel step_id","","","正式"
"analytics","ファネル：試合確定","—","established","funnel","analytics.funnel_established","accepted 混同","match.status_established のみを成立","コード","funnel step_id","","","正式"
"analytics","ファネル：再利用","—","reuse","funnel","analytics.funnel_reuse","—","同上","コード","funnel step_id","","","正式"
